매물명,분류,매물번호,방향,해당층,총층,방수,욕실수,총주차대수,총세대수,준공년월
강일리버파크10단지 1009동,아파트,2060063432,남,8,15,4,2,2009.04.
빌라,빌라/연립,2058061612,동,5,7,3,2,15,15,2020.05.
강일포디움 1동,오피스텔,2060061455,남,9,10,1,1,2016.03.
강일포디움 1동,오피스텔,2060049637,-,3,10,1,1,2016.03.
강일포디움 1동,오피스텔,2060062291,남,9,10,1,1,2016.03.
정암하이빌 1동,오피스텔,2060059660,-,9,11,1,1,2003.12.
빌라 신안아트빌,빌라/연립,2060165035,남,2,5,3,1,6,8,2014.10.
상가주택,상가주택,2060169665,남,4,2,4,2,2006.12.
빌라 명문아이빌,빌라/연립,2060063377,북,4,6,3,2,12,12,2017.01.
고덕롯데캐슬베네루체 719동,아파트,2060120685,남,1,17,3,2,2019.12.
빌라 신안아트빌,빌라/연립,2060101709,-,3,5,2,1,6,-,2007.01.
고덕리엔파크1단지 104동,아파트,2060064638,남,10,15,4,2,2011.01.
SK허브진 1동,주상복합,2059935123,남동,9,15,1,1,2004.10.
빌라 성운빌리지,빌라/연립,2060046666,남,1,4,3,1,4,-,1992.07.
빌라 삼성크로스빌리지,빌라/연립,2060028226,남,4,5,1,1,8,12,2002.04.
래미안솔베뉴 113동,아파트,2059927215,남,저,35,3,2,2019.06.
빌라 해성빌라,빌라/연립,2060111796,-,2,6,3,1,12,15,2016.06.
빌라 YH빌리지,빌라/연립,2060132104,남동,7,7,3,2,1,-,2017.01.
강일리버파크10단지 1003동,아파트,2060063818,-,11,13,3,2,2009.04.
빌라,빌라/연립,2060127038,남동,3,6,2,1,10,15,2017.06.
청광노블하임 1동,오피스텔,2060035947,-,11,15,1,1,2004.02.
현대웰하임1단지(도시형) 101동,아파트,2060021055,남,15,15,1,1,2012.04.
삼성광나루 104동,아파트,2060103794,서,1,26,4,2,2002.11.
빌라,빌라/연립,2060066163,동,2,6,3,2,9,9,2016.04.
빌라,빌라/연립,2060067925,-,4,6,3,2,10,10,2016.04.
단지내상가,상가점포,2060091064,1,3,20,
단독,단독/다가구,2060047093,동,12,6,-,7,1988.01.
다성이즈빌(167-153) 1동,오피스텔,2059916585,-,7,7,1,1,2017.08.
,,,,,,
다성이즈빌(169-9) 1동,오피스텔,2059904432,-,5,10,1,1,2016.09.
명일LG 101동,아파트,2059844927,남동,12,23,3,2,1999.12.
빌라 초동빌라,빌라/연립,2059666848,-,1,2,,,-,-,
강일리버파크8단지 809동,아파트,2059801764,남,4,8,3,2,2009.03.
빌라,빌라/연립,2058056507,남,4,7,3,2,15,-,2020.01.
빌라,빌라/연립,2059915362,남,2,5,3,2,14,16,
둔촌푸르지오 103동,아파트,2059793437,동,20,23,4,2,2010.03.
고덕리엔파크1단지 104동,아파트,2059828527,남,14,15,4,2,2011.01.
고덕리엔파크3단지 327동,아파트,2059883604,남서,8,20,3,2,2011.01.
현대1차 10동,아파트,2059837912,남,9,14,3,1,1984.11.
고덕그라시움 131동,아파트,2059682503,남,8,13,3,2,2019.09.
빌라,빌라/연립,2058058409,서,6,7,3,2,15,15,2020.05.
명일LG 101동,아파트,2059866694,남,2,23,3,2,1999.12.
세종 1동,오피스텔,2059855588,서,5,10,1,1,1997.08.
둔촌푸르지오 104동,아파트,2059865789,동,5,21,3,2,2010.03.
거산유팰리스 1동,오피스텔,2057435021,서,7,17,1,1,2020.07.
고덕그라시움 124동,아파트,2060793305,남동,중,29,3,2,2019.09.
고덕그라시움 123동,아파트,2060799829,남동,고,24,3,2,2019.09.
대우한강베네시티 101동,오피스텔,2060761430,남동,중,8,1,1,2007.03.
빌라 암사하이빌,빌라/연립,2059845840,남동,3,4,3,1,8,12,2002.04.
래미안강동팰리스 103동,주상복합,2059895636,남동,45,45,4,2,2017.07.
상가주택,상가주택,2059832080,-,,,-,-,
,,,,,,
,,,,,,
고덕숲아이파크 102동,아파트,2059690253,-,21,25,3,2,2018.03.
빌라 우주아트빌,빌라/연립,2059795093,남,4,5,3,2,8,8,2001.01.
서희스타힐스 1동,오피스텔,2059640809,-,16,17,1,1,2012.08.
고덕롯데캐슬베네루체 702동,아파트,2059911354,남,2,14,3,2,2019.12.
강일리버파크4단지 407동,아파트,2059576326,남,4,13,3,2,2009.03.
빌라,빌라/연립,2059853155,북,3,6,3,2,1,-,2019.06.
명일현대 102동,아파트,2059792002,-,6,15,2,1,1988.10.
강동시가오똠 비동,아파트,2059847541,남,5,7,3,2,2004.05.
둔촌푸르지오 101동,아파트,2059577558,남동,9,24,3,2,2010.03.
빌라,빌라/연립,2059884570,남서,3,8,2,1,12,20,2017.10.
천호우성 1동,아파트,2059621020,동,11,13,2,1,1985.02.
빌라,빌라/연립,2059912940,북동,3,7,2,1,15,14,2017.04.
빌라,빌라/연립,2059860481,남,5,6,3,2,10,10,2015.01.
고덕아르테온 309동,아파트,2059629232,남,11,25,3,2,2020.02.
강일리버파크2단지 207동,아파트,2059571622,남,8,12,3,2,2009.03.
고덕현대 14동,아파트,2059564706,동,4,14,3,1,1986.02.
빌라,빌라/연립,2057508662,남동,3,6,3,2,19,-,2019.02.
고덕그라시움 141동,아파트,2059083253,-,9,18,3,2,2019.09.
빌라,빌라/연립,2057508896,남동,4,6,2,1,19,-,2019.02.
